Id,SalePrice
2658,142872.87301039466
2718,152577.88867397496
2414,216243.53525944706
1989,110610.44502575422
625,176048.91685518224
333,77626.39935717835
1327,107320.63616806458
858,152386.4042932854
95,172481.03868729336
1568,165428.28635602936
2482,140595.02146827255
1364,124979.5633279034
2584,149855.95614410946
818,250125.772505996
2673,173984.8023685133
2089,118110.7283648637
1297,144754.14133265291
790,119437.392069456
2616,186494.8324847825
720,185864.70995380296
222,150442.75902766283
557,120622.67980849723
1148,188806.09336317144
2766,176917.16854383817
534,180321.18058901237
1452,119549.1124818818
630,108422.56860477955
2648,122900.57594942194
125,165170.05403517155
1904,44707.417917328145
1670,103033.88342350398
756,94138.604695141
717,223391.20600315725
1032,161703.56445335812
852,212329.82947037937
1731,187124.97430223835
2639,121776.5090021499
2071,85755.83229239861
1267,111469.71736038337
1851,200159.02346354802
567,164754.13545936628
2439,210471.1340189748
1898,156042.7313246645
647,168603.74301938212
2256,215658.82300170936
979,96313.37984708477
1444,211796.54943082435
2485,119205.87025707745
157,128903.22384919928
88,112490.64392816286
2003,109312.83611307926
186,203049.81039234993
1425,233144.11960171192
2695,131033.18724067627
738,96411.5312159833
395,151901.65331016263
1353,162607.9395286922
1878,132898.17197495452
390,148308.71254456177
1456,227913.52140061226
1103,331906.5951097283
1387,137194.4430131697
2070,140457.5295857087
1199,170309.2890333606
2479,175230.11230314095
501,323882.3360121681
2362,83734.71445221678
1718,224386.14792867517
2188,86564.18310071723
1483,157002.65985531601
2557,77737.10554707849
437,356313.5346825286
2224,215343.73216255746
1628,163989.25597348777
397,137471.31221608215
587,195239.71905143262
2182,620036.8304820082
971,144172.70817907233
2611,140915.71864479216
1887,101448.67696418244
2399,375352.5196779557
2148,190221.32790706417
304,131432.62837450107
1997,134361.78609513567
2817,90657.83127021295
1431,212089.49614575756
427,343043.0980376974
263,118595.23595972866
598,174518.77425097968
2895,236788.55901793123
687,132577.52687409698
1822,128480.11830365635
2191,100078.39824250717
179,112683.27931348942
1009,229286.09293658708
2010,121887.9958684356
1991,133998.46439671092
1411,216601.71298737632
1721,227744.80493186333
1144,190650.61819965436
593,214129.3204119355
575,319568.1781018836
1249,171093.47265009242
1604,115886.68078531908
1064,522956.81652044435
1923,154811.10862647253
1988,113231.63371932338
2325,166935.7448334742
114,194168.18059060402
2700,179402.27056426663
217,131311.84236390737
343,176056.59695127202
386,223339.2049211663
2005,113504.10554414638
2908,146020.36390845513
1814,244335.6035057364
2446,500410.09924627386
208,135515.4090471709
1679,96253.87454848748
822,312916.4475894866
6,186888.007590247
1781,392826.795144629
2397,321400.7018333776
2340,325158.13665506354
1618,165041.22954965066
2843,145516.97091285457
1061,361572.5582597547
2786,114609.86751135136
1935,138889.38422532636
1341,96814.26278120955
521,258457.15076426644
2136,129233.08908372867
996,208645.30990317542
227,136784.59182653966
135,193179.9968069732
1167,161488.54836908638
294,234771.82278146181
1776,216950.50770782784
540,174686.54185333126
1717,234179.47919930337
2303,132062.8023314669
116,182226.01080746288
127,138966.0194623509
1371,129367.43637960375
1014,160702.19350047765
1507,102616.67269626172
702,132944.1626570214
750,151936.23217306213
