Id,SalePrice
2658,165879.8606259367
2718,152514.6558124199
2414,218942.08374830004
1989,104486.21150451413
625,175808.29971696762
333,83874.36966517966
1327,101675.6031254844
858,138319.62699687138
95,183926.21889495433
1568,174055.80796139728
2482,158980.50896790583
1364,123381.80872795338
2584,155205.255155788
818,266660.210939619
2673,175893.34972612397
2089,125339.67857960986
1297,143913.98850610774
790,115901.15027186164
2616,200519.97852051706
720,201042.10560619968
222,145733.49038202153
557,119374.05212780385
1148,198785.6280980267
2766,182475.51954845717
534,185452.50057490027
1452,115933.55155187886
630,117898.43011593589
2648,131153.6097237869
125,162809.39253878227
1904,38765.36283834436
1670,103633.78654595627
756,78197.70661151904
717,232460.32251270948
1032,151389.17017436132
852,214105.73311554917
1731,187200.5607701021
2639,132468.12656294473
2071,83741.70647972121
1267,103661.20953837325
1851,184905.45811042812
567,163930.69500164525
2439,206357.51333748706
1898,148331.38968969192
647,181032.5547662288
2256,222636.29956947063
979,96868.0756639092
1444,217010.2735043125
2485,117415.90959715284
157,126460.526398366
88,119604.52284769012
2003,108888.68739129038
186,219737.02057148964
1425,241959.74672909523
2695,119124.96567876541
738,95115.14803801037
395,154406.82214004648
1353,171742.74458636137
1878,144349.54534095948
390,173195.66870845394
1456,230586.77624776063
1103,317742.4547435028
1387,130643.88591839615
2070,151557.56719900746
1199,176488.9789545664
2479,171546.80880388798
501,297531.98548635666
2362,84053.86732668118
1718,211564.00631794997
2188,62111.026305797655
1483,160572.35011365134
2557,76321.15818293471
437,350173.40609015373
2224,211760.71302827008
1628,163546.02122924838
397,125286.91316868889
587,206728.87264358407
2182,634706.8918410954
971,151985.9910730851
2611,153579.3608858506
1887,93633.87389537845
2399,366516.33866899624
2148,195707.2284318757
304,136917.83409461772
1997,130455.71929465636
2817,92541.11269694167
1431,198524.00768944438
427,338244.5515946526
263,116969.81107949174
598,184202.46241728493
2895,249676.23268331386
687,145383.60195137814
1822,128237.20716189925
2191,109586.53841087809
179,132677.4742931546
1009,206338.6717226931
2010,116659.2655979321
1991,143751.38839521215
