Id,SalePrice
2658,140362.9249238111
2718,168767.38904010554
2414,217908.4946337625
1989,115520.08246900508
625,182602.72746641582
333,80950.58430180671
1327,95231.15679069726
858,146145.1549307861
95,189609.37590872377
1568,162112.8399673835
2482,171210.88304070555
1364,119763.65498698407
2584,154185.24787427302
818,250831.69318898453
2673,164430.60455301878
2089,113172.3667074121
1297,153297.9979803015
790,115467.67182508296
2616,201356.37055542466
720,225084.38643389166
222,143309.8820790495
557,120549.50425489138
1148,204791.63350494648
2766,170368.2966338711
534,191561.25573164262
1452,109568.00602417906
630,125188.16070293033
2648,139999.21380631477
125,165898.9408376146
1904,29066.430583911482
1670,100513.62317871569
756,85112.50931433657
717,254585.23501788362
1032,167004.98544055334
852,225044.8669028545
1731,180048.41623202
2639,117416.97116755955
2071,63312.642436029855
1267,114508.17137557184
1851,194406.20264798985
567,164590.32393258897
2439,214640.91967413656
1898,150863.98714976685
647,182972.64490447965
2256,234271.3300531442
979,90017.9324640413
1444,228259.34008444467
2485,113556.40660789571
157,116385.50331159375
88,119979.07450147206
2003,111756.33499816761
186,221367.67321194606
1425,247302.4607168689
2695,126379.09307683677
738,102205.08924751049
395,149612.26965812987
1353,166176.64166546374
1878,145247.7219616681
390,166059.79786846752
1456,239442.5700829654
1103,328623.937401419
1387,138297.3250062904
2070,146818.7804106098
1199,175551.0978627274
2479,183933.99277428136
501,296347.8904427379
2362,86569.71471826677
1718,212951.2374275088
2188,73852.94975344626
1483,173627.15321264413
2557,67444.95136138673
437,329765.5299384346
2224,199451.17083967262
1628,179467.4477582434
397,132280.40981200978
587,209785.91366170463
2182,610707.3937786319
971,145151.89819414876
2611,149859.84070307208
1887,82183.76908193345
2399,364623.5253355177
2148,209771.34533593894
304,124527.26761417135
1997,139980.64350977278
2817,113893.48137798207
1431,192334.0330139321
427,333587.56616934744
263,112117.24665586316
598,192315.21178222066
2895,255758.3144382589
687,137614.88905124544
1822,131562.06359204583
2191,104324.30162445441
179,111198.2797155519
1009,209238.34374004364
2010,112769.84692933162
1991,144898.48703306733
1411,201821.76188599173
1721,225547.64268344146
1144,198025.14635152623
593,223754.207659124
575,326371.68835254037
1249,180660.23184425282
1604,109609.7002815862
1064,453125.31276429276
1923,164240.15891533846
1988,106289.26663302988
2325,171004.03800304665
114,208022.4294812244
2700,184907.16926525868
217,134251.11103382157
343,191915.04137568714
386,228185.75419260003
2005,114499.98463120866
2908,133597.4499578186
1814,254545.46996874828
2446,484954.1899917383
208,150002.442254221
1679,106433.9780001529
822,332868.25656326313
6,191016.4874800496
1781,397354.74541523145
2397,295918.27640373766
2340,292338.8334001814
1618,159116.65896365704
2843,144090.570601672
